vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pu_location_id,do_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,is_cross_borough,pickup_hour,pickup_day_of_week,time_of_day
2,2019-01-04 12:26:31,2019-01-04 12:36:05,1,1.56,1,N,162,140,1,8.0,0.0,0.5,2.2,0.0,0.3,0.0,11.0,9.566666666666666,9.78397212543554,5.128205128205128,0.275,False,12,4,afternoon
2,2019-01-04 12:27:48,2019-01-04 12:32:22,1,0.62,1,N,237,236,2,5.0,0.0,0.5,0.0,0.0,0.3,0.0,5.8,4.566666666666666,8.145985401459855,8.064516129032258,,False,12,4,afternoon
2,2019-01-04 12:33:15,2019-01-04 12:48:30,1,2.41,1,N,143,262,1,12.0,0.0,0.5,2.56,0.0,0.3,0.0,15.36,15.25,9.481967213114755,4.979253112033195,0.21333333333333335,False,12,4,afternoon
2,2019-01-04 13:39:23,2019-01-04 13:49:28,1,1.11,1,N,75,236,2,8.0,0.0,0.5,0.0,0.0,0.3,0.0,8.8,10.083333333333334,6.604958677685951,7.207207207207206,,False,13,4,afternoon
2,2019-01-04 14:18:56,2019-01-04 14:43:44,2,2.87,1,N,170,144,2,16.5,0.0,0.5,0.0,0.0,0.3,0.0,17.3,24.8,6.943548387096775,5.749128919860627,,False,14,4,afternoon
2,2019-01-04 14:23:39,2019-01-04 14:35:35,2,1.37,1,N,230,141,1,9.0,0.0,0.5,1.96,0.0,0.3,0.0,11.76,11.933333333333334,6.888268156424582,6.56934306569343,0.21777777777777776,False,14,4,afternoon
1,2019-01-04 14:25:35,2019-01-04 14:29:25,1,0.7,1,N,142,239,2,4.5,0.0,0.5,0.0,0.0,0.3,0.0,5.3,3.8333333333333335,10.956521739130432,6.428571428571429,,False,14,4,afternoon
1,2019-01-04 15:23:37,2019-01-04 15:46:53,1,3.1,1,N,144,246,2,17.5,0.0,0.5,0.0,0.0,0.3,0.0,18.3,23.266666666666666,7.9942693409742125,5.64516129032258,,False,15,4,afternoon
2,2019-01-04 15:51:32,2019-01-04 16:05:56,1,1.06,1,N,161,230,2,10.0,0.0,0.5,0.0,0.0,0.3,0.0,10.8,14.4,4.416666666666667,9.433962264150942,,False,15,4,afternoon
1,2019-01-04 16:27:09,2019-01-04 16:38:05,1,1.4,1,N,233,164,1,8.5,1.0,0.5,2.05,0.0,0.3,0.0,12.35,10.933333333333334,7.6829268292682915,6.071428571428572,0.24117647058823527,False,16,4,afternoon
2,2019-01-04 17:02:09,2019-01-04 17:07:14,1,1.45,1,N,48,43,1,6.0,1.0,0.5,0.78,0.0,0.3,0.0,8.58,5.083333333333333,17.114754098360656,4.137931034482759,0.13,False,17,4,evening
